,trialId,RateOfPheromoneDecay,foodDist,UninformedSearchVariation,RateOfLayingPheromone,RateOfInformedSearchDecay,ProbabilityOfSwitchingToSearching,RateOfSiteFidelity,fitnessScore,fitness,ProbabilityOfReturningToNest
679,679.0,9.99894336638,0.0,1.28691322273,15.1627119098,4.99999937395,0.709246477837,16.7592446105,0.0407552083333,0.0407552083333,0.226121051293
159,159.0,5.01988070372,0.0,10.7189225005,0.626434671477,2.17914123952,0.232005047353,1.21618520341,0.0408854166667,0.0408854166667,0.503616247126
2182,2182.0,9.99999999184,0.0,4.65798230005,10.689538219,4.9999999841,0.29806105436,9.64055079938,0.0424479166667,0.0424479166667,0.256635249474
388,388.0,6.631624585,0.0,0.301817082974,19.7391866466,4.99904115888,0.00231431951182,19.0006622444,0.042578125,0.042578125,0.363741036768
133,133.0,10.0,0.0,12.5375658361,19.1454555109,4.99999991757,0.215763365193,19.1858842138,0.04296875,0.04296875,0.928580288666
1308,1308.0,10.0,0.0,1.96436769272,1.5542217637,5.0,0.962383685649,17.1029596045,0.0442708333333,0.0442708333333,0.221156178394
1822,1822.0,9.9981543725,0.0,0.506424320156,18.3505917376,4.35682762151,0.205823285713,18.2395811691,0.044921875,0.044921875,0.742800540563
385,385.0,10.0,0.0,0.723553763474,3.52826667614,5.0,0.00169217490857,18.9639901166,0.0453125,0.0453125,0.247304751837
1147,1147.0,9.99999999985,0.0,3.48795645549,5.52471394692,4.99999999982,0.389290893441,15.4603805553,0.045703125,0.045703125,0.213057724421
451,451.0,10.0,0.0,12.4243545298,13.6290690108,0.788002058088,0.995773806392,4.34220472414,0.0463541666667,0.0463541666667,0.136104538787
